Stay,Price (2 adults/night),Check_in,Check_out,Score,Stars,Address,Reviews,Overall,Link
Riverside 1 Hotel,"VND 607,500","Mon, Oct 6","Tue, Oct 7",Scored 8.5,3,Can Tho,748 reviews,Very Good,https://www.booking.com/hotel/vn/riverside-can-tho.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=971137202_369505576_2_1_0&highlighted_blocks=971137202_369505576_2_1_0&matching_block_id=971137202_369505576_2_1_0&sr_pri_blocks=971137202_369505576_2_1_0__60750000&from=searchresults
Can Tho Ecolodge,"VND 1,542,707","Mon, Oct 6","Tue, Oct 7",Scored 8.8,4,Can Tho,850 reviews,Excellent,https://www.booking.com/hotel/vn/can-tho-ecolodge.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=476787905_0_2_1_0&highlighted_blocks=476787905_0_2_1_0&matching_block_id=476787905_0_2_1_0&sr_pri_blocks=476787905_0_2_1_0__154270722&from=searchresults
Nam Sông Hậu Hotel,"VND 552,500","Mon, Oct 6","Tue, Oct 7",Scored 8.3,0,Can Tho,35 reviews,Very Good,https://www.booking.com/hotel/vn/nam-song-hau.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=1346283505_415153564_0_0_0&highlighted_blocks=1346283505_415153564_0_0_0&matching_block_id=1346283505_415153564_0_0_0&sr_pri_blocks=1346283505_415153564_0_0_0__49725000&from=searchresults
Sheraton Can Tho,"VND 1,700,000","Mon, Oct 6","Tue, Oct 7",Scored 9.2,5,Can Tho,999 reviews,Wonderful,https://www.booking.com/hotel/vn/sheraton-can-tho.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=197949132_361552814_2_2_0_573226&highlighted_blocks=197949132_361552814_2_2_0_573226&matching_block_id=197949132_361552814_2_2_0_573226&sr_pri_blocks=197949132_361552814_2_2_0_573226_170000000&from_sustainable_property_sr=1&from=searchresults
Asia Hotel Can Tho,"VND 307,538","Mon, Oct 6","Tue, Oct 7",Scored 8.5,0,Can Tho,435 reviews,Very Good,https://www.booking.com/hotel/vn/asia-can-tho.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=41831314_0_2_0_0&highlighted_blocks=41831314_0_2_0_0&matching_block_id=41831314_0_2_0_0&sr_pri_blocks=41831314_0_2_0_0__30753831&from=searchresults
Monaco Hotel,"VND 439,793","Mon, Oct 6","Tue, Oct 7",Scored 9.5,2,Can Tho,307 reviews,Exceptional,https://www.booking.com/hotel/vn/monaco-can-tho2.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=886256201_0_2_0_0&highlighted_blocks=886256201_0_2_0_0&matching_block_id=886256201_0_2_0_0&sr_pri_blocks=886256201_0_2_0_0__43979299&from=searchresults
Van Phat Riverside Hotel,"VND 885,394","Mon, Oct 20","Tue, Oct 21",Scored 8.6,4,Can Tho,234 reviews,Excellent,https://www.booking.com/hotel/vn/van-phat-riverside.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-20&checkout=2025-10-21&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=59043719_0_2_1_0&highlighted_blocks=59043719_0_2_1_0&matching_block_id=59043719_0_2_1_0&sr_pri_blocks=59043719_0_2_1_0__88539357&from=searchresults
Madella Hotel,"VND 322,321","Mon, Oct 6","Tue, Oct 7",Scored 8.5,0,Can Tho,415 reviews,Very Good,https://www.booking.com/hotel/vn/madella.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=106475106_0_2_0_0&highlighted_blocks=106475106_0_2_0_0&matching_block_id=106475106_0_2_0_0&sr_pri_blocks=106475106_0_2_0_0__32232127&from=searchresults
Bighotel Can Tho,"VND 795,760","Mon, Oct 6","Tue, Oct 7",Scored 9.0,0,Can Tho,50 reviews,Wonderful,https://www.booking.com/hotel/vn/huynh-lap-boutique.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=577755101_420778763_0_0_0_1112075&highlighted_blocks=577755101_420778763_0_0_0_1112075&matching_block_id=577755101_420778763_0_0_0_1112075&sr_pri_blocks=577755101_420778763_0_0_0_1112075_38196500&from=searchresults
Homestay Mekong Can Tho,"VND 360,000","Mon, Oct 6","Tue, Oct 7",Scored 8.9,0,Can Tho,252 reviews,Excellent,https://www.booking.com/hotel/vn/homestay-mekong-can-tho.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=460690204_140510216_0_1_0&highlighted_blocks=460690204_140510216_0_1_0&matching_block_id=460690204_140510216_0_1_0&sr_pri_blocks=460690204_140510216_0_1_0__36000000&from=searchresults
