Stay,Price (2 adults/night),Check_in,Check_out,Score,Stars,Address,Reviews,Overall,Link
Merry House Hoàng Huy Riverside,"VND 551,721","Mon, Oct 6","Tue, Oct 7",Scored 9.1,4,Hai Phong,356 reviews,Wonderful,https://www.booking.com/hotel/vn/merry-house-hoang-huy-riverside.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=913038601_0_2_0_0&highlighted_blocks=913038601_0_2_0_0&matching_block_id=913038601_0_2_0_0&sr_pri_blocks=913038601_0_2_0_0__55172110&from=searchresults
Merry House Imperia,"VND 699,125","Mon, Oct 20","Tue, Oct 21",Scored 8.7,0,Hai Phong,405 reviews,Excellent,https://www.booking.com/hotel/vn/merry-house-serviced-apartment.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-20&checkout=2025-10-21&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=620166903_241869539_2_0_0_362178&highlighted_blocks=620166903_241869539_2_0_0_362178&matching_block_id=620166903_241869539_2_0_0_362178&sr_pri_blocks=620166903_241869539_2_0_0_362178_62921300&from=searchresults
PH Hotel & Apartment,"VND 999,170","Mon, Oct 6","Tue, Oct 7",Scored 9.0,4,Hai Phong,293 reviews,Wonderful,https://www.booking.com/hotel/vn/ph-amp-apartment.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=937066901_0_2_1_0&highlighted_blocks=937066901_0_2_1_0&matching_block_id=937066901_0_2_1_0&sr_pri_blocks=937066901_0_2_1_0__99916954&from=searchresults
Meliá Vinpearl Hai Phong Rivera,"VND 1,779,499","Mon, Oct 6","Tue, Oct 7",Scored 8.9,5,Hai Phong,420 reviews,Excellent,https://www.booking.com/hotel/vn/vinpearl-rivera-hai-phong-hai-phong.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=541955126_0_2_0_0&highlighted_blocks=541955126_0_2_0_0&matching_block_id=541955126_0_2_0_0&sr_pri_blocks=541955126_0_2_0_0__177949852&from=searchresults
Pi & Pu Apartment Hai Phong- Hoang Huy Commerce,"VND 1,650,000","Mon, Nov 3","Tue, Nov 4",Scored 10,4,Hai Phong,3 reviews,Exceptional,https://www.booking.com/hotel/vn/shin-apartment-hai-phong.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-03&checkout=2025-11-04&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=1481819802_419677764_2_0_0&highlighted_blocks=1481819802_419677764_2_0_0&matching_block_id=1481819802_419677764_2_0_0&sr_pri_blocks=1481819802_419677764_2_0_0__74250000&from=searchresults
Mercure Hai Phong,"VND 1,582,421","Mon, Oct 6","Tue, Oct 7",Scored 8.2,5,Hai Phong,362 reviews,Very Good,https://www.booking.com/hotel/vn/mercure-hai-phong.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=306105009_121943281_2_2_0&highlighted_blocks=306105009_121943281_2_2_0&matching_block_id=306105009_121943281_2_2_0&sr_pri_blocks=306105009_121943281_2_2_0__158242100&from=searchresults
Wink Hotel Hai Phong - 24hrs Stay,"VND 1,600,000","Mon, Oct 27","Tue, Oct 28",Scored 7.9,5,Hai Phong,27 reviews,Good,https://www.booking.com/hotel/vn/wink-hai-phong.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-10-28&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=1329449301_421320772_0_1_0&highlighted_blocks=1329449301_421320772_0_1_0&matching_block_id=1329449301_421320772_0_1_0&sr_pri_blocks=1329449301_421320772_0_1_0__120000000&from=searchresults
Le Haute Hotel Hai Phong,"VND 921,823","Mon, Oct 6","Tue, Oct 7",Scored 8.5,3,Hai Phong,85 reviews,Very Good,https://www.booking.com/hotel/vn/le-haute.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=1116485801_0_2_1_0&highlighted_blocks=1116485801_0_2_1_0&matching_block_id=1116485801_0_2_1_0&sr_pri_blocks=1116485801_0_2_1_0__92182300&from=searchresults
"Private room, international area, near Airport","VND 269,000","Mon, Oct 6","Tue, Oct 7",Scored 9.0,0,Hai Phong,221 reviews,Wonderful,https://www.booking.com/hotel/vn/private-room-international-area-near-airport.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=330687101_119456614_2_2_0&highlighted_blocks=330687101_119456614_2_2_0&matching_block_id=330687101_119456614_2_2_0&sr_pri_blocks=330687101_119456614_2_2_0__26900000&from=searchresults
Manoir Des Arts Hotel,"VND 1,119,809","Mon, Oct 6","Tue, Oct 7",Scored 8.7,4,Hai Phong,305 reviews,Excellent,https://www.booking.com/hotel/vn/manoir-des-arts.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=325442601_0_2_1_0&highlighted_blocks=325442601_0_2_1_0&matching_block_id=325442601_0_2_1_0&sr_pri_blocks=325442601_0_2_1_0__111980904&from=searchresults
Cat Ba Serena Homestay And Trekking,"VND 445,500","Mon, Oct 13","Tue, Oct 14",Scored 9.2,3,Hai Phong,782 reviews,Wonderful,https://www.booking.com/hotel/vn/catba-spring-homestay.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=591931504_367469340_2_41_0&highlighted_blocks=591931504_367469340_2_41_0&matching_block_id=591931504_367469340_2_41_0&sr_pri_blocks=591931504_367469340_2_41_0__44550000&from=searchresults
The Nova Hotel & Apartment,"VND 598,182","Mon, Oct 6","Tue, Oct 7",Scored 9.3,3,Hai Phong,240 reviews,Wonderful,https://www.booking.com/hotel/vn/novotel-amp-apartment.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__59818182&from=searchresults
Holiday Hotel 2,"VND 447,950","Mon, Oct 6","Tue, Oct 7",Scored 7.1,1,Hai Phong,10 reviews,Good,https://www.booking.com/hotel/vn/holiday-2-thanh-pho-hai-phong1.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714825&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=d3493bd097640268&srepoch=1759480310&all_sr_blocks=1296816901_402593057_2_0_0&highlighted_blocks=1296816901_402593057_2_0_0&matching_block_id=1296816901_402593057_2_0_0&sr_pri_blocks=1296816901_402593057_2_0_0__38075800&from=searchresults
