Stay,Price (2 adults/night),Check_in,Check_out,Score,Stars,Address,Reviews,Overall,Link
HOTEL du LAC SIGNATURE,"VND 9,450,000","Mon, Oct 13","Tue, Oct 14",Scored 10,5,"Hoan Kiem, Hanoi (Old Quarter)",5 reviews,Exceptional,https://www.booking.com/hotel/vn/du-lac-signature.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=de0b4341409d0395&srepoch=1759484549&all_sr_blocks=1484803701_419955256_0_41_0_1190847&highlighted_blocks=1484803701_419955256_0_41_0_1190847&matching_block_id=1484803701_419955256_0_41_0_1190847&sr_pri_blocks=1484803701_419955256_0_41_0_1190847_330750000&from=searchresults
Classic Street Hotel,"VND 10,000,000","Mon, Oct 13","Tue, Oct 14",Scored 9.2,4,"Hoan Kiem, Hanoi (Old Quarter)","5,144 reviews",Wonderful,https://www.booking.com/hotel/vn/the-classic-street.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=de0b4341409d0395&srepoch=1759484549&all_sr_blocks=39334501_419148305_2_1_0_617525&highlighted_blocks=39334501_419148305_2_1_0_617525&matching_block_id=39334501_419148305_2_1_0_617525&sr_pri_blocks=39334501_419148305_2_1_0_617525_150000000&from=searchresults
Lucien Hanoi Lakeside Hotel & Rooftop,"VND 2,442,092","Mon, Oct 20","Tue, Oct 21",Scored 9.7,5,"Hoan Kiem, Hanoi (Old Quarter)",611 reviews,Exceptional,https://www.booking.com/hotel/vn/o-39-gallery-classy-amp-spa.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-20&checkout=2025-10-21&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=de0b4341409d0395&srepoch=1759484549&all_sr_blocks=433250642_0_2_1_0&highlighted_blocks=433250642_0_2_1_0&matching_block_id=433250642_0_2_1_0&sr_pri_blocks=433250642_0_2_1_0__244209180&from=searchresults
Splendid Star Grand Hotel and Spa,"VND 6,567,120","Mon, Dec 15","Tue, Dec 16",Scored 9.3,4,"Hoan Kiem, Hanoi (Old Quarter)","2,100 reviews",Wonderful,https://www.booking.com/hotel/vn/splendid-star-grand.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-16&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=de0b4341409d0395&srepoch=1759484549&all_sr_blocks=49815412_123744896_0_1_0_368275&highlighted_blocks=49815412_123744896_0_1_0_368275&matching_block_id=49815412_123744896_0_1_0_368275&sr_pri_blocks=49815412_123744896_0_1_0_368275_137909500&from=searchresults
Hanoi Backpackers Lodge,"VND 240,000","Mon, Oct 6","Tue, Oct 7",Scored 8.8,0,"Hoan Kiem, Hanoi (Old Quarter)",275 reviews,Excellent,https://www.booking.com/hotel/vn/hanoi-backpacker-lodge.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=de0b4341409d0395&srepoch=1759484549&all_sr_blocks=1369007209_410724460_2_0_0&highlighted_blocks=1369007209_410724460_2_0_0&matching_block_id=1369007209_410724460_2_0_0&sr_pri_blocks=1369007209_410724460_2_0_0__24000000&from=searchresults
H Hôtel L'Art Hanoi,"VND 6,879,000","Mon, Oct 13","Tue, Oct 14",Scored 9.9,4,"Hoan Kiem, Hanoi (Old Quarter)",110 reviews,Exceptional,https://www.booking.com/hotel/vn/h-hanoi.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=de0b4341409d0395&srepoch=1759484549&all_sr_blocks=1369976002_419408216_2_1_0_1147056&highlighted_blocks=1369976002_419408216_2_1_0_1147056&matching_block_id=1369976002_419408216_2_1_0_1147056&sr_pri_blocks=1369976002_419408216_2_1_0_1147056_247644000&from=searchresults
MAY DE VILLE Crown Hotel,"VND 7,000,000","Mon, Oct 13","Tue, Oct 14",Scored 9.6,5,"Hoan Kiem, Hanoi (Old Quarter)","2,551 reviews",Exceptional,https://www.booking.com/hotel/vn/may-de-ville-premier-amp-spa.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=de0b4341409d0395&srepoch=1759484549&all_sr_blocks=886447314_393092234_0_41_0_1154950&highlighted_blocks=886447314_393092234_0_41_0_1154950&matching_block_id=886447314_393092234_0_41_0_1154950&sr_pri_blocks=886447314_393092234_0_41_0_1154950_350000000&from=searchresults
CLASSYC Hotel,"VND 6,600,000","Mon, Oct 6","Tue, Oct 7",Scored 9.6,5,"Hoan Kiem, Hanoi (Old Quarter)","1,558 reviews",Exceptional,https://www.booking.com/hotel/vn/classyc.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=de0b4341409d0395&srepoch=1759484549&all_sr_blocks=1186605501_402158785_2_41_0_740061&highlighted_blocks=1186605501_402158785_2_41_0_740061&matching_block_id=1186605501_402158785_2_41_0_740061&sr_pri_blocks=1186605501_402158785_2_41_0_740061_396000000&from=searchresults
Old Quarter View Hanoi Hostel,"VND 683,780","Mon, Oct 6","Tue, Oct 7",Scored 9.2,3,"Hoan Kiem, Hanoi (Old Quarter)","2,823 reviews",Wonderful,https://www.booking.com/hotel/vn/old-quarter-view-hanoi-hostel.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=de0b4341409d0395&srepoch=1759484549&all_sr_blocks=195460403_386527292_0_2_0_387995%2C195460403_386527292_0_2_0_387995&highlighted_blocks=195460403_386527292_0_2_0_387995%2C195460403_386527292_0_2_0_387995&matching_block_id=195460403_386527292_0_2_0_387995&sr_pri_blocks=195460403_386527292_0_2_0_387995_22222900%2C195460403_386527292_0_2_0_387995_22222900&from=searchresults
Le Premier Hotel & Rooftop Bar,"VND 5,049,000","Mon, Oct 20","Tue, Oct 21",Scored 9.9,4,"Hoan Kiem, Hanoi (Old Quarter)","2,227 reviews",Exceptional,https://www.booking.com/hotel/vn/le-premier-hoan-kiem.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-20&checkout=2025-10-21&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=de0b4341409d0395&srepoch=1759484549&all_sr_blocks=1257206201_398268381_2_1_0_1194931&highlighted_blocks=1257206201_398268381_2_1_0_1194931&matching_block_id=1257206201_398268381_2_1_0_1194931&sr_pri_blocks=1257206201_398268381_2_1_0_1194931_282744000&from=searchresults
