Stay,Price (2 adults/night),Check_in,Check_out,Score,Stars,Address,Reviews,Overall,Link
Grand Fusion Point Hotel,1053000,"Mon, Oct 6","Tue, Oct 7",8.7,3,Hue,115,Excellent,https://www.booking.com/hotel/vn/fusion-point-grand.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=1449714201_417973518_2_0_0_1172564&highlighted_blocks=1449714201_417973518_2_0_0_1172564&matching_block_id=1449714201_417973518_2_0_0_1172564&sr_pri_blocks=1449714201_417973518_2_0_0_1172564_28431000&from=searchresults
Hue Serene Palace Hotel,1800000,"Mon, Oct 6","Tue, Oct 7",9.3,3,Hue,2734,Wonderful,https://www.booking.com/hotel/vn/hue-serene-palace.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=58296101_392954062_0_1_0&highlighted_blocks=58296101_392954062_0_1_0&matching_block_id=58296101_392954062_0_1_0&sr_pri_blocks=58296101_392954062_0_1_0__79200000&from=searchresults
Yên Riverside Villa - Homestay Huế,4500000,"Mon, Oct 6","Tue, Oct 7",,0,Hue,,N/A,https://www.booking.com/hotel/vn/yen-riverside-villa-homestay-hue.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=1478862601_420234358_10_0_0&highlighted_blocks=1478862601_420234358_10_0_0&matching_block_id=1478862601_420234358_10_0_0&sr_pri_blocks=1478862601_420234358_10_0_0__450000000&from=searchresults
Tâm Homestay,250000,"Mon, Oct 13","Tue, Oct 14",9.6,4,Hue,1428,Exceptional,https://www.booking.com/hotel/vn/tam-homestay-hue.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=516383802_384825005_0_2_0&highlighted_blocks=516383802_384825005_0_2_0&matching_block_id=516383802_384825005_0_2_0&sr_pri_blocks=516383802_384825005_0_2_0__25000000&from=searchresults
Êm Villa 8 Bedrooms with Swimming Pool,5000000,"Mon, Oct 27","Tue, Oct 28",,0,Hue,,N/A,https://www.booking.com/hotel/vn/em-villa-khai-dinh.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-10-28&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=1084267302_381333515_10_0_0&highlighted_blocks=1084267302_381333515_10_0_0&matching_block_id=1084267302_381333515_10_0_0&sr_pri_blocks=1084267302_381333515_10_0_0__500000000&from=searchresults
Vina Vintage Hotel,313082,"Mon, Oct 13","Tue, Oct 14",9.7,3,Hue,3,Exceptional,https://www.booking.com/hotel/vn/vina-vintage.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__31308192&from=searchresults
Melia Vinpearl Hue,150000,"Mon, Oct 6","Tue, Oct 7",9.4,5,Hue,3922,Wonderful,https://www.booking.com/hotel/vn/melia-vinpearl-hue-hotel.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=399089426_358174191_2_2_0_1195102&highlighted_blocks=399089426_358174191_2_2_0_1195102&matching_block_id=399089426_358174191_2_2_0_1195102&sr_pri_blocks=399089426_358174191_2_2_0_1195102_197660600&from=searchresults
Stop and Go Boutique Homestay Hue,580000,"Mon, Oct 6","Tue, Oct 7",9.0,0,Hue,312,Wonderful,https://www.booking.com/hotel/vn/stop-and-go-boutique-homestay-hue.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=323706902_262089864_2_2_0&highlighted_blocks=323706902_262089864_2_2_0&matching_block_id=323706902_262089864_2_2_0&sr_pri_blocks=323706902_262089864_2_2_0__34800000&from=searchresults
Rosaleen Boutique Hotel,2835000,"Mon, Oct 6","Tue, Oct 7",8.7,3,Hue,1688,Excellent,https://www.booking.com/hotel/vn/new-star.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=24601815_130043269_0_41_0_235683&highlighted_blocks=24601815_130043269_0_41_0_235683&matching_block_id=24601815_130043269_0_41_0_235683&sr_pri_blocks=24601815_130043269_0_41_0_235683_93555000&from=searchresults
Jade Scene Hotel,1886700,"Mon, Oct 6","Tue, Oct 7",9.2,3,Hue,3200,Wonderful,https://www.booking.com/hotel/vn/jade-scene.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=809350702_342536147_0_1_0_567992&highlighted_blocks=809350702_342536147_0_1_0_567992&matching_block_id=809350702_342536147_0_1_0_567992&sr_pri_blocks=809350702_342536147_0_1_0_567992_86788200&from=searchresults
