hotel_Id,Hotel_name,Province,Price,Check_in_date,Check_out_date,Score,Stars,Address,Reviews,Overall,Link
1,The Song Luxury Apartment Vung Tau,Bà Rịa - Vũng Tàu,2500000,11/17/2025,11/18/2025,8.7,5,Vung Tau,7,Excellent,https://www.booking.com/hotel/vn/mun-apartment.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-17&checkout=2025-11-18&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1490990001_420940020_2_0_0&highlighted_blocks=1490990001_420940020_2_0_0&matching_block_id=1490990001_420940020_2_0_0&sr_pri_blocks=1490990001_420940020_2_0_0__25000000&from=searchresults
2,The Song Your House Apartment - Căn Hộ Du Lịch Biển Vũng Tàu,Bà Rịa - Vũng Tàu,1000000,10/13/2025,10/14/2025,9.3,5,Vung Tau,25,Wonderful,https://www.booking.com/hotel/vn/the-song-your-house-apartment-can-ho-du-lich-bien-vung-tau.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1493138003_420957875_2_0_0_1200152&highlighted_blocks=1493138003_420957875_2_0_0_1200152&matching_block_id=1493138003_420957875_2_0_0_1200152&sr_pri_blocks=1493138003_420957875_2_0_0_1200152_30000000&from=searchresults
3,The Sóng Căn Hộ nằm cạnh Biển -An's Homestay,Bà Rịa - Vũng Tàu,765000,10/27/2025,10/28/2025,7.7,5,Vung Tau,27,Good,https://www.booking.com/hotel/vn/the-song-can-ho-nam-canh-bien-ans-homestay.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-10-28&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1455130002_416868011_0_0_0&highlighted_blocks=1455130002_416868011_0_0_0&matching_block_id=1455130002_416868011_0_0_0&sr_pri_blocks=1455130002_416868011_0_0_0__34425000&from=searchresults
4,The Song Premium Apartment - Căn Hộ Du Lịch Biển - Anh Khoa Homestay,Bà Rịa - Vũng Tàu,850000,10/13/2025,10/14/2025,9.7,5,Vung Tau,22,Exceptional,https://www.booking.com/hotel/vn/the-song-anh-khoa-apartment.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1489024701_420570324_4_0_0&highlighted_blocks=1489024701_420570324_4_0_0&matching_block_id=1489024701_420570324_4_0_0&sr_pri_blocks=1489024701_420570324_4_0_0__33150000&from=searchresults
5,The Song Luxury Vung Tau - Khang Apartment,Bà Rịa - Vũng Tàu,1170000,10/13/2025,10/14/2025,8.4,4,Vung Tau,25,Very good,https://www.booking.com/hotel/vn/the-song-luxury-vung-tau-khang-apartment.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1310004903_404462132_2_0_0&highlighted_blocks=1310004903_404462132_2_0_0&matching_block_id=1310004903_404462132_2_0_0&sr_pri_blocks=1310004903_404462132_2_0_0__46800000&from=searchresults
6,The Sóng Luxury Apartment Vung Tau - Tuấn Hoà Homestay,Bà Rịa - Vũng Tàu,447059,10/13/2025,10/14/2025,8.9,5,Vung Tau,313,Excellent,https://www.booking.com/hotel/vn/hoa-homestay-the-song-vung-tau-codotel-can-ho-gan-bien-co-ho-boi-vo-cuc-the-song.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1119261209_405237514_2_42_0_1144022&highlighted_blocks=1119261209_405237514_2_42_0_1144022&matching_block_id=1119261209_405237514_2_42_0_1144022&sr_pri_blocks=1119261209_405237514_2_42_0_1144022_44705900&from=searchresults
7,The Song Apartment - Căn Hộ Gần Biển Tháp Tam Thắng - Rose Vũng Tàu,Bà Rịa - Vũng Tàu,380000,10/13/2025,10/14/2025,9.2,4,Vung Tau,22,Wonderful,https://www.booking.com/hotel/vn/the-song-apartment-mien-phi-ho-boi-vo-cuc-cao-nhat-vung-tau.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=904962004_405010386_2_0_0&highlighted_blocks=904962004_405010386_2_0_0&matching_block_id=904962004_405010386_2_0_0&sr_pri_blocks=904962004_405010386_2_0_0__32300000&from=searchresults
8,"CONDOTEL The Sóng Apartment Vũng Tàu - Căn Hộ View Biển, Hồ Bơi Vô Cực",Bà Rịa - Vũng Tàu,827700,10/13/2025,10/14/2025,8,4,Vung Tau,26,Very good,https://www.booking.com/hotel/vn/dunno-homestay-condotel-the-song-apartment.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1464138801_417859496_2_0_0&highlighted_blocks=1464138801_417859496_2_0_0&matching_block_id=1464138801_417859496_2_0_0&sr_pri_blocks=1464138801_417859496_2_0_0__49662000&from=searchresults
9,The Sóng Vũng Tàu- SAO VIỆT Căn Hộ Nghỉ Dưỡng 5 Sao,Bà Rịa - Vũng Tàu,800000,10/13/2025,10/14/2025,8.8,4,Vung Tau,139,Excellent,https://www.booking.com/hotel/vn/the-song-vung-tau-sao-viet-can-ho-nghi-duong-5-sao.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1308011704_421433185_2_0_0&highlighted_blocks=1308011704_421433185_2_0_0&matching_block_id=1308011704_421433185_2_0_0&sr_pri_blocks=1308011704_421433185_2_0_0__32000000&from=searchresults
10,The Sóng Apartment 5 Stars Vung Tau - Căn Hộ Du Lịch Biển 5 Sao Vũng Tàu - MINH TOẢN's Homestay,Bà Rịa - Vũng Tàu,1379000,10/13/2025,10/14/2025,9.2,5,Vung Tau,300,Wonderful,https://www.booking.com/hotel/vn/the-song-condotel-vung-tau-vung-tau1.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1224445303_413991247_2_0_0&highlighted_blocks=1224445303_413991247_2_0_0&matching_block_id=1224445303_413991247_2_0_0&sr_pri_blocks=1224445303_413991247_2_0_0__34475000&from=searchresults
