Stay,Price (2 adults/night),Check_in,Check_out,Score,Stars,Address,Reviews,Overall,Link
Serenity Center Saigon,1379000,"Mon, Oct 6","Tue, Oct 7",9.6,0,"District 3, Ho Chi Minh City",8,Exceptional,https://www.booking.com/hotel/vn/serenity-center-saigon.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c9c22701b19e018c&srepoch=1759469995&all_sr_blocks=1468043001_418122162_2_0_0&highlighted_blocks=1468043001_418122162_2_0_0&matching_block_id=1468043001_418122162_2_0_0&sr_pri_blocks=1468043001_418122162_2_0_0__82740000&from=searchresults
"Vinpearl Landmark 81, Autograph Collection",7500000,"Mon, Oct 6","Tue, Oct 7",9.1,5,"Binh Thanh, Ho Chi Minh City (Hang Xanh)",420,Wonderful,https://www.booking.com/hotel/vn/vinpearl-landmark-81-autograph-collection.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c9c22701b19e018c&srepoch=1759469995&all_sr_blocks=448512540_135060109_2_34_0_502930&highlighted_blocks=448512540_135060109_2_34_0_502930&matching_block_id=448512540_135060109_2_34_0_502930&sr_pri_blocks=448512540_135060109_2_34_0_502930_750000000&nad_id=2007ab0c-6752-4b01-807a-f26b01f28dd1_0&nad_cpc=0.53&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NTk0Njk1NzE2ODYsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiYU53YThJRzNTWlowZFpLeitTVHlHTmE1Wk8yN0pNbzREb2k3dFVBLzhacDNINFJYTU5QZ1dTZWRXcXcxazdlTHB6STBYUFZFZFF1MmVnRFdzT2VSWkRTUUhPUjZ6eDd5bTZiZDN2aVBtNEppRklxQnFoZXF1ZVRReDVzL29GOWoyT05DZnUvbERSbk1KcjZUaXdjOTV1eHBMS1lSMkMrZDNNcWppUDhkcnNpUWpLUGpJU2VFZldNOXlnNExyTytkYXR6bDRCNHBrdjByUnRMN3p0a3A1Y1ltb0w2cUV2ODdZYmhUVVdpY3ZSL09LclEvZ1lXSTh6eDRtTE5aMm1pbEozdEl0UzVSU1ZuYjFFSnZwMTRvMzJSVjBBUVRiNW10ODYveFNtcFE4QmFmRjQ4c3ZZdCszN0tLcEgyTGtKNUF4LzFYZDhPaEY0M3FDNzJZMjFkaFdOWkhXMUlqcDZQdEpyWXJSeHZYWmtjdFhMejNpeTU4aENKSzRzQXJDcnhOYzFEaVR2cW1YTHUxZHhoSnZHcWY3NCsxTnJsa3U0Zk5MN3orejA0RE9wTHI5NDJNSHhJS3NQcTlxNGZoQ3VOYXh3SGJMMnpEZEtEM2dFVVRMYUVUcm1KeitXeW82R2h4M0h4amhKYWpsNE0yQWs5RzNBd0FBYUMvajJQQ3RjZjRzdXI3djc2Y0xJK0h0S1dFbGZ6KzhBaW9xbHVuT21vNisyUWYrWEtzMEVuSHpQYXpLK3RWMk8vK1UxNCtMUEVsZXJyUnNFWVJnQVpVZEdjYlJYRVk0UC9DT3lRcldCUmI1cE11NldETzJHSHZpMk0yRlRBMmk0ZGlMdUhDN1dqNGNJNldMYzNNRHJBYk5RSnJ2M0pnT09QckFodDVKem82amZNOVZMU1EydFZaZ0liMmxMTjJiaytQZ1VpbWk2c2xzOHpZSTBtSnc0Wm1RcFd0Q0RIdWpzaXIrNVJIS1JoSGZ6RDg2U0RLQVIzUVdGUURvYUk4aTJLVi9CZkt0TnRxUXdWclBrVWZPbVJRQ1ZFTnYyMHhDc0VYeUxBcXo0eEFnbGNyMkhrZ1ZZNi80aWsxdUVEU0hXclY4OHprZ2M0UWtpV3JIUGhJNWVVYzdDMXo0L2Y2cTV1TzYxYUwydVJuRFVnb2xYb1haODFLc1RkQk1Xclp5K1FLSFFxc1daeFRCK2ZBeUFmMzR1ZVFYWFhHUVhDOWVabUhyYWFaZTZ0SXM4Z09vT1NOL1RFeGZHUDIrSTNVa1N1VGtuMVpZV010MmpGa0xWUnZrYWZtZDNzcGlsbGRONGszZjg4ODhBdk05dy84VDgrWVFFdm1xNlRxRmFHaVhZTng5TXpFcFRFYjZES3NlT0VJTXZobDcvS2hWTVRtTlN5RGRWV2N0WkJmTGMrOEdnWTQ2M29lYkRpRmNzcERvTktlMnhHUFNITHoxQVYxRWZJNkRld1NKNzZZTmEwN1Byam9Yckw0d0EzVnRlTzNjZXVqaENXaEtwcWZtMm5EWnlBZ0lYUWFQZkttVHh5UVd5OGpCOUNYeG9DUXF6UVhSQTdzSnJ4SHlCWjI3WWNDVW81K2J5QWZkRU15THV0MXY0dTVxZlYwVWpSTGE4cjRRN1ptVm0rMHU0anN3T0xwTlJXdnJ3b2FOMHU4bjdwWjhCS1VYZ1M5RVFXZURzYXVHbVhYT0EyUFFBNGZYK09JWnFoWGpkNHVrTldZbWNMZ3JwNXVFVDB1ZUNHbnJEV2x2RWZDYXFUM2FZNG5BVWthYlU5Q1ozVUlUUEp1QjgyazZRUlVwMEg5TDJDTUdwekZWL1MySGpMUlRzZDlkK3g0ajZCV3BBZDZyNWtuWjZteXF0N0xFaTZKTmtsUnhEdG5hMmw3dDRVT3ltTWR4VDBmUCs2YmhEYkpIT0pLUVVHWStsdDhWNDIvTzdTMHFnMDRmVWtRZHR0S3J3QzQ0WExOMXFBbWFhRmgvZTNkV0hLTE0zdVFFR1ptR3BMQm5GWGhDUXQxemhXVlRvRFdBU3NLOEt6WjVXUnZyczJEMDdNdW5ybDZxNEphZXptbndwZE51TjlwL0N5Yll1ZHhaQnN3bkdNcGwyTzJzTEQ3eWRpNFBYRWtxeWZhT0tYOUs3VXpYTEtzazUzZmw1WTBQNUNaZmxVZ2RWNkM1VWFBb3VwUFRoUzZmeEI2Z3BwMjVHUnU4cmNmUzVBNGFpVllJdWZJQXNJNWduZC9XbDUrVTJmMTZzMllrRGtieXdTQ2hGR2ZOdkw3TE40WmRDOW9JTjV5SlBQakZKTmpaYUJsbDZ1S0h3RXloNWc2alV5eGNpaXFvbFh4bGRycUNKUmswWEtwdEVmVlY1Y2xZZ1M4Q1NtaXRzbUZZcUorVUJCTy9CNDM3TXZpNkIyTDFqRlQzMkF1UmZkWjJ3VnBkWGthUmswd2Y5OHU3QXRKVDlWUWg0WVdsTjR1QWphalduNzBmTUwwbXplYy8rdEFHMGpZK3c5cCtCWFg2bnVlNzcxREkxbUZTNFlxMkJsMzhzMXNIc1gwdmZuY29PdDZLVDUxNXMxQzgzdWF0bHJjNUlkbUVJd1cyQllrTGY4Yk9SMkYzRGs5eXRreThMei94blFlWnh3ZjVvVGtIenJwWEJFN1VSNHk2ZnVLUm40MlAxRUZaY09kMTdTWFFaZGFJMENQb0FDa0MxM2VsYXN2cGRoN3l1L25DSWJXU2wrdjVrMjdZRmp6RGZGMlA1aHZ5WHZaQjV4SEorMXVzVStUMWtYZy9WYm1xYVJ6QmdkaXFhYWRmZ1pUN3g0bGJsUTh6NEtJek9KcS80OFZpMlRqSTF0NnJWTVZ2UGhkTmh3anM3eCszNTZhVVRhbTNQSW12RU1VRkZlalc0OHdlbnMyaVAwZ2RtSnU4VHJvK0xwdG5QZWRxdlg4V0lKd2hOam5VWlN2eXNWbkRnZXkwTURJaHRCS21WTFZyMTh3QTVhTlFSbnlSeURiZExoRFpkNURhVjcyNlFDMGpxOTFIRW9ONStvNzZJUWZwM2s1aFdRdWNENzYrczZCOGMyeGhjVUk0UVpFTEc3V1ZYZEpRSTZMOGVkaDZmdkEwb3ZON1l0d2dRVGZ6OEJvTUg0ZFhsanJ0Y1RRU0wyTlZHS1o0ZnEvdjZDN0NhT3RxVTJXcldHMkt3ZG1Lcldkb0w1UnZtOFRDSHNNV21MdEJ5WE5FSGxibWVmRjVCZGhvcWszaU5QbTAyZ3g3d3VaVkRTMDBsVUNXUTlFWmtkRVIwVkZ5citDYndzMXdFNWhxWHR2U3d4dzVQT1YrWlU3b3lsa1c0T2prZTFxL3R0Y1ZtQUV1L3R1aXlzVEVnM3JSTVJ5WlBoaTRRZnFsK0V6YjVSMDUyQkVSS0ZyZ243OENiTzJTTURaNU9leGtnOHU0bWFiK0dTYkJDaDNtMGo2T2xlamYzWHBzRnFhZU1rMGhudlkvbHNXajdZWkVwR3pXNXhsakhCaSJ9&nad_placement=SR_MAIN&from_sustainable_property_sr=1&from=searchresults
SG Boutique MatterHorn Hotel,1045000,"Mon, Oct 6","Tue, Oct 7",8.7,3,"District 1, Ho Chi Minh City",221,Excellent,https://www.booking.com/hotel/vn/persephone-sg.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c9c22701b19e018c&srepoch=1759469995&all_sr_blocks=1371586105_409357694_0_1_0_1192704&highlighted_blocks=1371586105_409357694_0_1_0_1192704&matching_block_id=1371586105_409357694_0_1_0_1192704&sr_pri_blocks=1371586105_409357694_0_1_0_1192704_99275000&from=searchresults
Sunshine,680000,"Mon, Oct 6","Tue, Oct 7",7.1,3,Ho Chi Minh City,24,Good,https://www.booking.com/hotel/vn/apartment-quan-2.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c9c22701b19e018c&srepoch=1759469995&all_sr_blocks=1315436001_404321142_2_0_0&highlighted_blocks=1315436001_404321142_2_0_0&matching_block_id=1315436001_404321142_2_0_0&sr_pri_blocks=1315436001_404321142_2_0_0__68000000&from=searchresults
LeParc Hotel - Ben Thanh Market,607050,"Mon, Oct 6","Tue, Oct 7",9.0,3,"District 1, Ho Chi Minh City (Le Thanh Ton)",261,Wonderful,https://www.booking.com/hotel/vn/grand-poseidon-sg.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c9c22701b19e018c&srepoch=1759469995&all_sr_blocks=1369630703_409183769_0_0_0_1181865&highlighted_blocks=1369630703_409183769_0_0_0_1181865&matching_block_id=1369630703_409183769_0_0_0_1181865&sr_pri_blocks=1369630703_409183769_0_0_0_1181865_54634500&from=searchresults
Grand Dilly Inn Saigon Hotel - Ben Thanh Market,1692000,"Mon, Oct 6","Tue, Oct 7",8.9,3,"District 1, Ho Chi Minh City",333,Excellent,https://www.booking.com/hotel/vn/grand-artemis-inn.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c9c22701b19e018c&srepoch=1759469995&all_sr_blocks=1371131505_409318029_0_41_0_1182184&highlighted_blocks=1371131505_409318029_0_41_0_1182184&matching_block_id=1371131505_409318029_0_41_0_1182184&sr_pri_blocks=1371131505_409318029_0_41_0_1182184_143820000&from=searchresults
PASSION BOUTIQUE HOTEL - Ben Thanh Market,765000,"Mon, Oct 6","Tue, Oct 7",9.1,2,"District 1, Ho Chi Minh City (Le Thanh Ton)",169,Wonderful,https://www.booking.com/hotel/vn/emerald-saigon.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c9c22701b19e018c&srepoch=1759469995&all_sr_blocks=1421212309_413761995_2_0_0&highlighted_blocks=1421212309_413761995_2_0_0&matching_block_id=1421212309_413761995_2_0_0&sr_pri_blocks=1421212309_413761995_2_0_0__68850000&from=searchresults
Luxury Hotel Saigon,769500,"Mon, Oct 6","Tue, Oct 7",9.0,3,"District 1, Ho Chi Minh City",156,Wonderful,https://www.booking.com/hotel/vn/haoni-luxury.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c9c22701b19e018c&srepoch=1759469995&all_sr_blocks=1342812805_406666677_0_42_0_1188896&highlighted_blocks=1342812805_406666677_0_42_0_1188896&matching_block_id=1342812805_406666677_0_42_0_1188896&sr_pri_blocks=1342812805_406666677_0_42_0_1188896_69255000&from=searchresults
The Peak Suite at Landmark Plus,12000000,"Mon, Oct 6","Tue, Oct 7",8.8,4,"Binh Thanh, Ho Chi Minh City (Hang Xanh)",18,Excellent,https://www.booking.com/hotel/vn/the-peak-suite-at-landmark-plus.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c9c22701b19e018c&srepoch=1759469995&all_sr_blocks=1451320401_416489572_2_0_0_1181098&highlighted_blocks=1451320401_416489572_2_0_0_1181098&matching_block_id=1451320401_416489572_2_0_0_1181098&sr_pri_blocks=1451320401_416489572_2_0_0_1181098_108000000&from=searchresults
The Luxury Lumiere Riverside Suite,22100000,"Mon, Nov 3","Tue, Nov 4",9.1,5,"An Phu, Ho Chi Minh City",9,Wonderful,https://www.booking.com/hotel/vn/castelo-house-riverview.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-03&checkout=2025-11-04&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c9c22701b19e018c&srepoch=1759469995&all_sr_blocks=1398383305_417944151_2_0_0_913693&highlighted_blocks=1398383305_417944151_2_0_0_913693&matching_block_id=1398383305_417944151_2_0_0_913693&sr_pri_blocks=1398383305_417944151_2_0_0_913693_198900000&from=searchresults
