Stay,Price (2 adults/night),Check_in,Check_out,Score,Stars,Address,Reviews,Overall,Link
Dolphin Hotel Nha Trang,495000,"Mon, Oct 20","Tue, Oct 21",9.3,4,Nha Trang,35,Wonderful,https://www.booking.com/hotel/vn/strepsils-nha-trang-nha-trang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-20&checkout=2025-10-21&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=1415094502_413218544_2_0_0_1134851&highlighted_blocks=1415094502_413218544_2_0_0_1134851&matching_block_id=1415094502_413218544_2_0_0_1134851&sr_pri_blocks=1415094502_413218544_2_0_0_1134851_27720000&from=searchresults
Lucky Sun Hotel Nha Trang Beach,1457000,"Mon, Oct 6","Tue, Oct 7",8.5,4,Nha Trang,2122,Very Good,https://www.booking.com/hotel/vn/lucky-sun.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=475155620_387403362_0_2_0_757371&highlighted_blocks=475155620_387403362_0_2_0_757371&matching_block_id=475155620_387403362_0_2_0_757371&sr_pri_blocks=475155620_387403362_0_2_0_757371_56823000&from=searchresults
Prime New Hotel,676875,"Mon, Nov 17","Tue, Nov 18",7.8,4,Nha Trang,2110,Good,https://www.booking.com/hotel/vn/prime.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-17&checkout=2025-11-18&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=26083013_84189461_2_2_0_382547&highlighted_blocks=26083013_84189461_2_2_0_382547&matching_block_id=26083013_84189461_2_2_0_382547&sr_pri_blocks=26083013_84189461_2_2_0_382547_29782500&from=searchresults
Oceanus MT Vien Trieu Thai Ha Hotel & Apartment,891000,"Mon, Oct 6","Tue, Oct 7",8.1,4,Nha Trang,466,Very Good,https://www.booking.com/hotel/vn/muong-thanh-nha-trang-apartment-review-nha-trang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=921577710_364213656_0_42_0_577495&highlighted_blocks=921577710_364213656_0_42_0_577495&matching_block_id=921577710_364213656_0_42_0_577495&sr_pri_blocks=921577710_364213656_0_42_0_577495_39204000&from=searchresults
Seaside Boutique Hotel Nha Trang Beach,1913600,"Mon, Oct 6","Tue, Oct 7",9.2,4,Nha Trang,276,Wonderful,https://www.booking.com/hotel/vn/seaside-nha-trang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=1373297801_409498690_0_42_0_887681&highlighted_blocks=1373297801_409498690_0_42_0_887681&matching_block_id=1373297801_409498690_0_42_0_887681&sr_pri_blocks=1373297801_409498690_0_42_0_887681_84198400&from=searchresults
Azura Gold Hotel & Apartment,1282500,"Mon, Oct 6","Tue, Oct 7",9.3,4,Nha Trang,4206,Wonderful,https://www.booking.com/hotel/vn/ha-thu.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=107292105_384454973_2_2_0_663628&highlighted_blocks=107292105_384454973_2_2_0_663628&matching_block_id=107292105_384454973_2_2_0_663628&sr_pri_blocks=107292105_384454973_2_2_0_663628_43605000&from=searchresults
Rex Hotel & Apartment,860000,"Mon, Oct 6","Tue, Oct 7",7.5,3,Nha Trang,375,Good,https://www.booking.com/hotel/vn/rex-nha-trang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=125168009_404365966_0_0_0_757369&highlighted_blocks=125168009_404365966_0_0_0_757369&matching_block_id=125168009_404365966_0_0_0_757369&sr_pri_blocks=125168009_404365966_0_0_0_757369_36980000&from=searchresults
The Summer Hotel,693000,"Mon, Oct 20","Tue, Oct 21",8.8,4,Nha Trang,582,Excellent,https://www.booking.com/hotel/vn/the-summer.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-20&checkout=2025-10-21&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=26059127_409650821_2_1_0_869914&highlighted_blocks=26059127_409650821_2_1_0_869914&matching_block_id=26059127_409650821_2_1_0_869914&sr_pri_blocks=26059127_409650821_2_1_0_869914_41580000&from=searchresults
Panorama Wins Residences Nha Trang,1700000,"Mon, Oct 6","Tue, Oct 7",8.1,5,Nha Trang,266,Very Good,https://www.booking.com/hotel/vn/panorama-wins-nha-trang-nha-trang2.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=1355046402_407826270_2_0_0&highlighted_blocks=1355046402_407826270_2_0_0&matching_block_id=1355046402_407826270_2_0_0&sr_pri_blocks=1355046402_407826270_2_0_0__119000000&from=searchresults
Panorama Suites Ocean Nha Trang,1800000,"Mon, Oct 6","Tue, Oct 7",8.4,5,Nha Trang,212,Very Good,https://www.booking.com/hotel/vn/panorama-condotel-nha-trang-nha-trang2.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=1361961102_408507642_2_0_0&highlighted_blocks=1361961102_408507642_2_0_0&matching_block_id=1361961102_408507642_2_0_0&sr_pri_blocks=1361961102_408507642_2_0_0__108000000&from=searchresults
